,loss,mae,mse,mape,r2,val_loss,val_mae,val_mse,val_mape,val_r2
0,15.849753379821777,15.849753379821777,296.3814697265625,69.1572036743164,-12.229040145874023,8.488953590393066,8.488953590393066,104.91529083251953,34.43478012084961,-3.504809856414795
1,6.5390448570251465,6.5390448570251465,59.210975646972656,28.73454475402832,-1.642892599105835,5.768551349639893,5.768551349639893,43.21022415161133,27.578393936157227,-0.8553429841995239
2,5.215275764465332,5.215275764465332,35.54792022705078,25.067049026489258,-0.5866878032684326,4.884539604187012,4.884539604187012,30.878816604614258,23.87230682373047,-0.3258620500564575
3,4.291616439819336,4.291616439819336,24.626148223876953,21.000883102416992,-0.09919261932373047,3.8962697982788086,3.8962697982788086,20.580245971679688,19.388042449951172,0.1163337230682373
4,3.2811145782470703,3.2811145782470703,16.083303451538086,16.382701873779297,0.28211885690689087,2.8611865043640137,2.8611865043640137,13.631572723388672,14.775343894958496,0.41469305753707886
5,2.5306649208068848,2.5306649208068848,11.194890022277832,12.677688598632812,0.5003141164779663,2.2654073238372803,2.2654073238372803,10.176997184753418,11.65873908996582,0.5630242824554443
6,2.132868528366089,2.132868528366089,8.842429161071777,10.534647941589355,0.6053165793418884,1.9950292110443115,1.9950292110443115,8.357741355895996,10.174101829528809,0.6411386728286743
7,1.9007508754730225,1.9007508754730225,7.358649730682373,9.307990074157715,0.6715453267097473,1.795122742652893,1.795122742652893,6.960845947265625,9.045761108398438,0.701117992401123
8,1.730907917022705,1.730907917022705,6.224184513092041,8.436809539794922,0.7221823930740356,1.6646971702575684,1.6646971702575684,6.003082752227783,8.363218307495117,0.7422420978546143
9,1.5971447229385376,1.5971447229385376,5.384875297546387,7.740586280822754,0.7596451044082642,1.520744800567627,1.520744800567627,5.186802387237549,7.548263072967529,0.7772911787033081
10,1.4777995347976685,1.4777995347976685,4.737912178039551,7.1176438331604,0.7885224223136902,1.4189965724945068,1.4189965724945068,4.59073543548584,6.979872226715088,0.8028848767280579
11,1.3761614561080933,1.3761614561080933,4.240753173828125,6.57037353515625,0.8107132315635681,1.3367400169372559,1.3367400169372559,4.156619071960449,6.493870258331299,0.8215247392654419
12,1.2925069332122803,1.2925069332122803,3.8610305786132812,6.112982273101807,0.8276622295379639,1.2720867395401,1.2720867395401,3.828660488128662,6.107029438018799,0.8356065154075623
13,1.2231000661849976,1.2231000661849976,3.5666048526763916,5.722650051116943,0.8408039808273315,1.1974836587905884,1.1974836587905884,3.552035331726074,5.654057025909424,0.8474841713905334
14,1.1738951206207275,1.1738951206207275,3.3524181842803955,5.457186698913574,0.8503642082214355,1.1564056873321533,1.1564056873321533,3.3726720809936523,5.4202375411987305,0.8551855683326721
15,1.1320992708206177,1.1320992708206177,3.165628671646118,5.247791767120361,0.8587015867233276,1.1220020055770874,1.1220020055770874,3.219496011734009,5.2264018058776855,0.8617625832557678
16,1.1013128757476807,1.1013128757476807,3.013655662536621,5.095889091491699,0.8654849529266357,1.0958739519119263,1.0958739519119263,3.1029937267303467,5.095093727111816,0.8667649030685425
17,1.0698614120483398,1.0698614120483398,2.873208999633789,4.944970607757568,0.8717538118362427,1.0765925645828247,1.0765925645828247,3.011014461517334,4.9964680671691895,0.8707143068313599
18,1.0423933267593384,1.0423933267593384,2.7491376399993896,4.813643455505371,0.877291738986969,1.0609639883041382,1.0609639883041382,2.9199111461639404,4.923524856567383,0.8746260404586792
19,1.0184321403503418,1.0184321403503418,2.635739326477051,4.702383518218994,0.8823533058166504,1.041377305984497,1.041377305984497,2.8226449489593506,4.836886405944824,0.8788024187088013
20,0.9914143681526184,0.9914143681526184,2.523838758468628,4.569363594055176,0.8873479962348938,1.0212478637695312,1.0212478637695312,2.7117598056793213,4.76445198059082,0.8835635781288147
21,0.9661005139350891,0.9661005139350891,2.4207680225372314,4.446586608886719,0.8919485807418823,1.0041781663894653,1.0041781663894653,2.6476681232452393,4.671162128448486,0.8863154649734497
22,0.9482450485229492,0.9482450485229492,2.3342514038085938,4.361098766326904,0.8958102464675903,0.989428699016571,0.989428699016571,2.5828607082366943,4.599277019500732,0.8890981674194336
23,0.9255533218383789,0.9255533218383789,2.249098539352417,4.246919631958008,0.8996111154556274,0.9758675694465637,0.9758675694465637,2.5198421478271484,4.536177635192871,0.891804039478302
24,0.9023305773735046,0.9023305773735046,2.1722044944763184,4.134479999542236,0.903043270111084,0.9638229012489319,0.9638229012489319,2.4578990936279297,4.478231906890869,0.8944637179374695
25,0.8833566904067993,0.8833566904067993,2.0935518741607666,4.042663097381592,0.9065539240837097,0.9447406530380249,0.9447406530380249,2.3847270011901855,4.399021148681641,0.8976055383682251
26,0.8690454363822937,0.8690454363822937,2.020810604095459,3.9743199348449707,0.9098007678985596,0.9430874586105347,0.9430874586105347,2.334615468978882,4.423147201538086,0.8997572064399719
27,0.8490647673606873,0.8490647673606873,1.9480314254760742,3.8803417682647705,0.9130492806434631,0.9195989370346069,0.9195989370346069,2.264695167541504,4.29677152633667,0.9027594327926636
28,0.8276739120483398,0.8276739120483398,1.8797698020935059,3.780886173248291,0.9160961508750916,0.9065046906471252,0.9065046906471252,2.202728748321533,4.221282005310059,0.9054201245307922
29,0.8136525750160217,0.8136525750160217,1.8250114917755127,3.7157206535339355,0.9185402989387512,0.8913493752479553,0.8913493752479553,2.139901638031006,4.161630153656006,0.9081177711486816
30,0.7985754609107971,0.7985754609107971,1.7613170146942139,3.6471734046936035,0.9213833212852478,0.8798951506614685,0.8798951506614685,2.082674026489258,4.114253997802734,0.9105749726295471
31,0.7871358394622803,0.7871358394622803,1.7080117464065552,3.59582781791687,0.9237625598907471,0.8689931035041809,0.8689931035041809,2.029327630996704,4.066989898681641,0.9128655195236206
32,0.7750141024589539,0.7750141024589539,1.6549351215362549,3.5429747104644775,0.9261316657066345,0.8588795065879822,0.8588795065879822,1.9765374660491943,4.030029296875,0.9151322245597839
33,0.75764000415802,0.75764000415802,1.5997765064239502,3.4599640369415283,0.9285936951637268,0.8480719923973083,0.8480719923973083,1.9309428930282593,3.978719711303711,0.9170899391174316
34,0.7417880296707153,0.7417880296707153,1.5520488023757935,3.3852975368499756,0.930724024772644,0.8370932936668396,0.8370932936668396,1.8826441764831543,3.924557685852051,0.9191638231277466
